Date,Name,Year,Letterboxd URI,Rating
2024-01-22,Citizen Kane,1941,https://boxd.it/71O,3.5
2024-01-23,Barbie,2023,https://boxd.it/bCLK,3
2024-01-23,Parasite,2019,https://boxd.it/hTha,4.5
2024-01-23,Fight Club,1999,https://boxd.it/2a9q,4.5
2024-01-23,Joker,2019,https://boxd.it/h4cS,4
2024-01-23,Interstellar,2014,https://boxd.it/4VZ8,4.5
2024-01-23,Whiplash,2014,https://boxd.it/7bQA,4
2024-01-23,Midsommar,2019,https://boxd.it/jhxe,3.5
2024-01-23,Inception,2010,https://boxd.it/1skk,4
2024-01-23,The Dark Knight,2008,https://boxd.it/2b0k,4
2024-01-23,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO,4
2024-01-23,The Wolf of Wall Street,2013,https://boxd.it/3C1m,4
2024-01-23,American Psycho,2000,https://boxd.it/28Vs,3.5
2024-01-23,The Truman Show,1998,https://boxd.it/18U8,3.5
2024-01-23,The Shining,1980,https://boxd.it/29Nu,4
2024-01-23,Once Upon a Time... in Hollywood,2019,https://boxd.it/gH0O,4
2024-01-23,Inglourious Basterds,2009,https://boxd.it/1JzG,4.5
2024-01-23,Glass Onion,2022,https://boxd.it/oCkK,3
2024-01-23,Se7en,1995,https://boxd.it/29zs,4
2024-01-23,The Silence of the Lambs,1991,https://boxd.it/2aHW,4.5
2024-01-23,Django Unchained,2012,https://boxd.it/2cCk,4
2024-01-23,Baby Driver,2017,https://boxd.it/bhF2,3.5
2024-01-23,The Godfather,1972,https://boxd.it/2aNK,5
2024-01-23,Kill Bill: Vol. 1,2003,https://boxd.it/70w,4
2024-01-23,Shutter Island,2010,https://boxd.it/1U82,4
2024-01-23,Taxi Driver,1976,https://boxd.it/2b8y,4
2024-01-23,The Matrix,1999,https://boxd.it/2a1m,4
2024-01-23,The Shawshank Redemption,1994,https://boxd.it/2aHi,5
2024-01-23,Coco,2017,https://boxd.it/bYJQ,4.5
2024-01-23,Top Gun: Maverick,2022,https://boxd.it/cjr4,4
2024-01-23,GoodFellas,1990,https://boxd.it/29FA,4.5
2024-01-23,1917,2019,https://boxd.it/jj4y,4
2024-01-23,2001: A Space Odyssey,1968,https://boxd.it/2bf0,3.5
2024-03-07,Dune,2021,https://boxd.it/fA7G,4.5
2024-03-07,Dune: Part Two,2024,https://boxd.it/pUfA,5
2024-03-07,Society of the Snow,2023,https://boxd.it/y9aw,4
2024-03-07,Dallas Buyers Club,2013,https://boxd.it/4O8G,4
2024-03-11,Amsterdam,2022,https://boxd.it/oJ58,2.5
2024-03-11,Saltburn,2023,https://boxd.it/z4eg,3
2024-03-11,Oppenheimer,2023,https://boxd.it/wUow,4.5
2024-03-11,Tenet,2020,https://boxd.it/leq4,3.5
2024-03-11,The Dark Knight Rises,2012,https://boxd.it/H3m,3.5
2024-03-12,Spirited Away,2001,https://boxd.it/2b4m,4.5
2024-03-12,Heat,1995,https://boxd.it/2bg8,4.5
2024-03-12,There Will Be Blood,2007,https://boxd.it/20Z2,4
2024-03-14,Annie Hall,1977,https://boxd.it/29M2,4
2024-03-14,Ratatouille,2007,https://boxd.it/27ww,4
2024-03-14,Scent of a Woman,1992,https://boxd.it/1YAu,4
2024-03-15,Casino,1995,https://boxd.it/2ads,4.5
2024-03-15,The Departed,2006,https://boxd.it/28MA,4
2024-03-15,The Irishman,2019,https://boxd.it/dYOq,4
2024-03-15,Raging Bull,1980,https://boxd.it/28yI,4.5
2024-03-15,The Aviator,2004,https://boxd.it/26BU,4
2024-03-17,Killers of the Flower Moon,2023,https://boxd.it/gHp0,4
2024-03-21,Eyes Wide Shut,1999,https://boxd.it/2axs,4
2024-03-27,La Haine,1995,https://boxd.it/2as8,4
2024-03-29,Good Will Hunting,1997,https://boxd.it/2ahY,4.5
2024-03-29,Sicario,2015,https://boxd.it/8i7u,4
2024-03-30,The Intern,2015,https://boxd.it/7AOE,3
2024-04-03,City of God,2002,https://boxd.it/2a2a,4
2024-04-03,La La Land,2016,https://boxd.it/a5fa,4.5
2024-05-27,Schindler's List,1993,https://boxd.it/2aq2,4.5
2024-06-12,Memento,2000,https://boxd.it/2bcK,3.5
2024-06-12,Furiosa: A Mad Max Saga,2024,https://boxd.it/tABk,3.5
2024-06-12,American Beauty,1999,https://boxd.it/71Y,4
2024-06-12,Civil War,2024,https://boxd.it/z1jW,3.5
2024-06-12,Trainspotting,1996,https://boxd.it/29XY,3.5
2024-06-23,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,https://boxd.it/2agQ,3
2024-06-23,Cinema Paradiso,1988,https://boxd.it/1UlA,5
2024-09-01,Pulp Fiction,1994,https://boxd.it/29Pq,4
2024-12-27,Casablanca,1942,https://boxd.it/2aG0,4
2024-12-27,Ford v Ferrari,2019,https://boxd.it/ce74,4
2024-12-28,All About My Mother,1999,https://boxd.it/2b9c,3.5
2024-12-30,Thesis,1996,https://boxd.it/1Z1U,4
2024-12-30,"Crazy, Stupid, Love.",2011,https://boxd.it/D9A,3
2025-01-02,Mystic River,2003,https://boxd.it/2aAG,4
2025-01-02,Conclave,2024,https://boxd.it/AO8q,4
2025-01-02,Forrest Gump,1994,https://boxd.it/728,4.5
2025-01-02,The Name of the Rose,1986,https://boxd.it/2aUw,3.5
2025-01-02,Basic Instinct,1992,https://boxd.it/2asM,3.5
2025-01-03,Carry-On,2024,https://boxd.it/C0B2,3
2025-01-06,Akira,1988,https://boxd.it/2b1i,3.5
2025-01-18,A Few Good Men,1992,https://boxd.it/29nw,3.5
2025-03-07,The Incredibles,2004,https://boxd.it/1XLm,4.5
2025-03-10,The Machinist,2004,https://boxd.it/248c,2.5
2025-04-18,Son of Cain,2013,https://boxd.it/53gq,1.5
2025-04-21,The Great Gatsby,2013,https://boxd.it/JY,3
2025-05-05,Howl's Moving Castle,2004,https://boxd.it/23De,5
2025-06-23,Scarface,1983,https://boxd.it/2b7g,4.5
2025-07-13,Mission: Impossible,1996,https://boxd.it/29d2,4
2025-07-17,Mamma Mia!,2008,https://boxd.it/1Tnq,2.5
2025-07-23,The Pianist,2002,https://boxd.it/2aqc,4
2025-07-27,12 Angry Men,1957,https://boxd.it/2auI,4.5
2025-08-28,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,4
2025-09-05,The Godfather Part II,1974,https://boxd.it/2aNq,5
2025-09-05,The Godfather Part III,1990,https://boxd.it/2aN6,3.5
2025-09-15,Incredibles 2,2018,https://boxd.it/7IPg,4
2025-10-08,The Prestige,2006,https://boxd.it/293w,3.5
2025-10-13,Ponyo,2008,https://boxd.it/1S0A,4
2025-12-06,Arrival,2016,https://boxd.it/aNGk,3.5
2025-12-26,Analyze This,1999,https://boxd.it/1Yr8,3
2026-01-22,One Battle After Another,2025,https://boxd.it/DUHM,4
2026-01-25,Sinners,2025,https://boxd.it/KQMM,2.5
